Date : 2025-06-03 09:36:03
Directory : c:\Users\User\Documents\Nestly_frntd
Total : 61 files,  20476 codes, 165 comments, 1103 blanks, all 21744 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\configuracion\configuracion.component.scss    | SCSS               |        374 |          4 |         60 |        438 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\configuracion\configuracion.component.ts      | TypeScript         |         14 |          0 |          2 |         16 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.css             | PostCSS            |        623 |         14 |        103 |        740 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.html            | HTML               |        114 |          0 |         33 |        147 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.spec.ts         | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.ts              | TypeScript         |         21 |          0 |          7 |         28 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\editarPerfil\editarPerfil.component.html      | HTML               |        169 |          6 |         26 |        201 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\editarPerfil\editarPerfil.component.scss      | SCSS               |        426 |         10 |         83 |        519 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\editarPerfil\editarPerfil.component.ts        | TypeScript         |         94 |          2 |         14 |        110 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\fecha.pipe.ts                                 | TypeScript         |          9 |          0 |          1 |         10 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\inicio-routing.module.ts                      | TypeScript         |         32 |          1 |          3 |         36 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\inicio.module.ts                              | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.css                   | PostCSS            |        192 |          9 |         35 |        236 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.html                  | HTML               |         42 |          0 |         11 |         53 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.spec.ts               | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.ts                    | TypeScript         |         60 |          2 |         17 |         79 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.css                   | PostCSS            |        577 |          5 |         96 |        678 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.html                  | HTML               |        250 |         11 |         19 |        280 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.spec.ts               | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.ts                    | TypeScript         |         82 |          1 |         12 |         95 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.css               | PostCSS            |        517 |         13 |        101 |        631 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.html              | HTML               |        165 |          6 |         24 |        195 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.spec.ts           | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.ts                | TypeScript         |         16 |          0 |          6 |         22 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\interface\usuario.interface.ts                       | TypeScript         |          0 |          0 |          3 |          3 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\localstorage.service.ts                              | TypeScript         |         32 |          0 |          5 |         37 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\index.html                                               | HTML               |         13 |          0 |          1 |         14 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\main.ts                                                  | TypeScript         |          6 |          0 |          3 |          9 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\styles.css                                               | PostCSS            |          0 |          1 |          1 |          2 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\tsconfig.app.json                                            | JSON               |         13 |          2 |          1 |         16 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\tsconfig.json                                                | JSON with Comments |         31 |          2 |          1 |         34 |
| c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\tsconfig.spec.json                                           | JSON               |         13 |          2 |          1 |         16 |
| c:\Users\User\Documents\Nestly_frntd\README.md                                                                               | Markdown           |         20 |          0 |          8 |         28 |
| Total                                                                                                                        |                    |     20,476 |        165 |      1,103 |     21,744 |
+------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
